ID,Obs,GPC ref no.,Scope,Sector,Sektori,Alas
,1,I,,Stationary energy,Kiinteä energia,
,2,I.1,,Residential buildings,Asuinrakennukset,2 rakennusten lämmitys .. 5 asuminen
,3,I.1.1,1,Emissions from fuel combustion within the city boundary,Polttoprosessit kaupungissa,
,4,I.1.2,2,Emissions from grid-supplied energy consumed within the city boundary,Energiankäyttö verkosta kaupungissa,2 kulutussähkö
,5,I.1.3,3,Emissions from transmission and distribution losses from grid-supplied energy consumption,Päästöt verkon häviöistä,
,6,I.2,,Commercial and institutional buildings and facilities,Kaupalliset rakennukset,2 rakennusten lämmitys .. 5 palvelut
,7,I.2.1,1,Emissions from fuel combustion within the city boundary,Polttoprosessit kaupungissa,
,8,I.2.2,2,Emissions from grid-supplied energy consumed within the city boundary,Energiankäyttö verkosta kaupungissa,
,9,I.2.3,3,Emissions from transmission and distribution losses from grid-supplied energy consumption,Päästöt verkon häviöistä,
,10,I.3,,Manufacturing industries and construction,Valmistusprosessit ja rakentaminen,2 rakennusten lämmitys .. 5 teollisuus
,11,I.3.1,1,Emissions from fuel combustion within the city boundary,Polttoprosessit kaupungissa,
,12,I.3.2,2,Emissions from grid-supplied energy consumed within the city boundary,Energiankäyttö verkosta kaupungissa,
,13,I.3.3,3,Emissions from transmission and distribution losses from grid-supplied energy consumption,Päästöt verkon häviöistä,
,14,I.4,,Energy industries,Energia-ala,ei löydy koska kulutuspohjainen tarkastelu
,15,I.4.1,1,Emissions from energy used in power plant auxiliary operations within the city boundary,Energiantuotannon apuprosessit kaupungeissa,
,16,I.4.2,2,Emissions from grid-supplied energy consumed in power plant auxiliary operations within the city boundary,Energiankäyttö verkon apuprosesseissa kaupungeissa,
,17,I.4.3,3,Emissions from transmission and distribution losses from grid-supplied energy consumption in power plant auxiliary operations,Verkon häviöt voimalaitosten apuprosesseissa,
,18,I.4.4,1,Emissions from energy generation supplied to the grid,Häviöt verkon sähkönsyötyössä,
,19,I.5,,"Agriculture, forestry and fishing activities","Maa- , metsä- ja kalatalous",Puuttuu: 2 maatalous ei ole energiankulutusta vaan päästöjä
,20,I.5.1,1,Emissions from fuel combustion within the city boundary,Polttoprosessit kaupungissa,
,21,I.5.2,2,Emissions from grid-supplied energy consumed within the city boundary,Energiankäyttö verkosta kaupungissa,
,22,I.5.3,3,Emissions from transmission and distribution losses from grid-supplied energy consumption,Päästöt verkon häviöistä,
,23,I.6,,Non-specified sources,Erittelemättömät energialähteet,
,24,I.6.1,1,Emissions from fuel combustion within the city boundary,Polttoprosessit kaupungissa,
