kuntanumero,kunta,maakunta,vuosi,taso_4,taso_5,päästöt (ktCO2e),energiankulutus (GWh),suorite (Mkm),laskentaperuste
20,Akaa,Pirkanmaa,2005,Kadut,Henkilöautot,"8,435","32,154","38,699",Lipasto
20,Akaa,Pirkanmaa,2005,Kadut,Pakettiautot,"0,904","3,397","4,192",Lipasto
20,Akaa,Pirkanmaa,2005,Kadut,Linja-autot,"0,944","3,581","0,679",Lipasto
20,Akaa,Pirkanmaa,2005,Kadut,Kuorma-autot,"2,616","9,889","1,877",Lipasto
20,Akaa,Pirkanmaa,2005,Tiet,Henkilöautot,"16,601","63,833","111,396",Lipasto
20,Akaa,Pirkanmaa,2005,Tiet,Pakettiautot,"2,908","10,969","13,021",Lipasto
20,Akaa,Pirkanmaa,2005,Tiet,Linja-autot,"0,978","3,685","1,213",Lipasto
20,Akaa,Pirkanmaa,2005,Tiet,Kuorma-autot,"9,079","34,296","8,651",Lipasto
20,Akaa,Pirkanmaa,2005,Moottoripyörät,Moottoripyörät,"0,213","0,797","1,801",Lipasto
20,Akaa,Pirkanmaa,2005,Moottoripyörät,Mopot,"0,042","0,147","0,575",Lipasto
20,Akaa,Pirkanmaa,2005,Moottoripyörät,Mopoautot,"0,016","0,067","0,165",Lipasto
20,Akaa,Pirkanmaa,2006,Kadut,Henkilöautot,"8,328","31,783","38,276",Lipasto
20,Akaa,Pirkanmaa,2006,Kadut,Pakettiautot,"0,908","3,410","4,252",Lipasto
20,Akaa,Pirkanmaa,2006,Kadut,Linja-autot,"0,939","3,576","0,684",Lipasto
20,Akaa,Pirkanmaa,2006,Kadut,Kuorma-autot,"2,629","9,939","1,904",Lipasto
20,Akaa,Pirkanmaa,2006,Tiet,Henkilöautot,"16,888","64,992","112,157",Lipasto
20,Akaa,Pirkanmaa,2006,Tiet,Pakettiautot,"2,954","11,145","13,346",Lipasto
20,Akaa,Pirkanmaa,2006,Tiet,Linja-autot,"0,966","3,639","1,208",Lipasto
20,Akaa,Pirkanmaa,2006,Tiet,Kuorma-autot,"9,352","35,340","8,821",Lipasto
20,Akaa,Pirkanmaa,2006,Moottoripyörät,Moottoripyörät,"0,234","0,876","1,984",Lipasto
20,Akaa,Pirkanmaa,2006,Moottoripyörät,Mopot,"0,048","0,167","0,662",Lipasto
20,Akaa,Pirkanmaa,2006,Moottoripyörät,Mopoautot,"0,018","0,076","0,190",Lipasto
20,Akaa,Pirkanmaa,2007,Kadut,Henkilöautot,"8,305","31,653","38,256",Lipasto
20,Akaa,Pirkanmaa,2007,Kadut,Pakettiautot,"0,910","3,418","4,322",Lipasto
20,Akaa,Pirkanmaa,2007,Kadut,Linja-autot,"0,921","3,511","0,684",Lipasto
20,Akaa,Pirkanmaa,2007,Kadut,Kuorma-autot,"2,736","10,346","1,959",Lipasto
20,Akaa,Pirkanmaa,2007,Tiet,Henkilöautot,"17,367","66,736","114,129",Lipasto
20,Akaa,Pirkanmaa,2007,Tiet,Pakettiautot,"3,010","11,359","13,710",Lipasto
20,Akaa,Pirkanmaa,2007,Tiet,Linja-autot,"0,951","3,586","1,199",Lipasto
20,Akaa,Pirkanmaa,2007,Tiet,Kuorma-autot,"10,066","38,053","9,084",Lipasto
20,Akaa,Pirkanmaa,2007,Moottoripyörät,Moottoripyörät,"0,255","0,954","2,163",Lipasto
20,Akaa,Pirkanmaa,2007,Moottoripyörät,Mopot,"0,054","0,191","0,759",Lipasto
20,Akaa,Pirkanmaa,2007,Moottoripyörät,Mopoautot,"0,021","0,087","0,218",Lipasto
20,Akaa,Pirkanmaa,2008,Kadut,Henkilöautot,"7,779","30,250","37,160",Lipasto
20,Akaa,Pirkanmaa,2008,Kadut,Pakettiautot,"0,882","3,381","4,332",Lipasto
20,Akaa,Pirkanmaa,2008,Kadut,Linja-autot,"0,904","3,525","0,701",Lipasto
20,Akaa,Pirkanmaa,2008,Kadut,Kuorma-autot,"2,625","10,145","2,020",Lipasto
20,Akaa,Pirkanmaa,2008,Tiet,Henkilöautot,"16,908","66,289","112,881",Lipasto
20,Akaa,Pirkanmaa,2008,Tiet,Pakettiautot,"2,957","11,404","13,889",Lipasto
20,Akaa,Pirkanmaa,2008,Tiet,Linja-autot,"0,941","3,627","1,221",Lipasto
20,Akaa,Pirkanmaa,2008,Tiet,Kuorma-autot,"9,397","36,297","9,179",Lipasto
20,Akaa,Pirkanmaa,2008,Moottoripyörät,Moottoripyörät,"0,262","1,012","2,278",Lipasto
