"","url","type","object_id","name","id","identifier","indicator_level","time_resolution","latest_value.value","latest_value.date","latest_value.unit"
"1","https://aplans.api.hel.ninja/v1/action/290/","action",290,"Liikenteen solmukohtien palvelutarjonta ja vaihtojen sujuvuus","a290","1",NA,NA,NA,NA,NA
"2","https://aplans.api.hel.ninja/v1/indicator/177/","indicator",177,"Liityntäpysäköinnin uudet autopaikat","i177",NA,"operational","year",3.980000e+02,2018-12-31,pcs
"3","https://aplans.api.hel.ninja/v1/indicator/197/","indicator",197,"Joukkoliikenteen kulkumuoto-osuus","i197",NA,"tactical","year",3.300000e+01,2018-12-31,%
"4","https://aplans.api.hel.ninja/v1/indicator/370/","indicator",370,"Liikenteen päästöt","i370",NA,"strategic","year",NA,NA,NA
"5","https://aplans.api.hel.ninja/v1/indicator/353/","indicator",353,"Jalankulun ja pyöräliikenteen kulkumuoto-osuus","i353","Pötkylän segmentti","tactical","year",NA,NA,NA
"6","https://aplans.api.hel.ninja/v1/indicator/113/","indicator",113,"Kävelyn kulkumuoto-osuus","i113",NA,"tactical","year",3.597000e+01,2018-12-31,%
"7","https://aplans.api.hel.ninja/v1/indicator/2/","indicator",  2,"Kestävien kulkumuotojen osuus tehdyistä matkoista","i2",NA,"tactical","year",8.000000e+01,2018-12-31,%
"8","https://aplans.api.hel.ninja/v1/indicator/29/","indicator", 29,"Polttomoottorihenkilöautoilla ajetut kilometrit","i29",NA,"tactical","year",2.003700e+03,2018-12-31,M km
"9","https://aplans.api.hel.ninja/v1/indicator/11/","indicator", 11,"Henkilöautoilun kasvihuonekaasupäästöt","i11","ghg_emissions_cars","strategic","year",3.203628e+02,2018-12-31,kt (CO₂e.)/a
"10","https://aplans.api.hel.ninja/v1/indicator/23/","indicator", 23,"Tieliikenteen kasvihuonekaasupäästöt","i23","ghg_emissions_road_transport_helsinki","strategic","year",NA,NA,NA
"11","https://aplans.api.hel.ninja/v1/indicator/24/","indicator", 24,"Liikenteen kasvihuonekaasupäästöt","i24","ghg_emissions_transport_helsinki","strategic","year",6.542097e+02,2018-12-31,kt (CO₂e.)/a
"12","https://aplans.api.hel.ninja/v1/indicator/5/","indicator",  5,"Helsingin kaupungin kasvihuonekaasupäästöt (scope 1-2)","i5","ghg_emissions_helsinki","strategic","year",2.559287e+03,2018-12-31,kt (CO₂e.)/a
"13","https://aplans.api.hel.ninja/v1/indicator/284/","indicator",284,"Maatalouden kasvihuonekaasupäästöt","i284",NA,"strategic","year",9.000000e-01,2018-12-31,kt (CO₂e.)/a
"14","https://aplans.api.hel.ninja/v1/indicator/233/","indicator",233,"Helsingin hiilinielut","i233",NA,"strategic","year",NA,NA,NA
"15","https://aplans.api.hel.ninja/v1/indicator/237/","indicator",237,"Luonnonmukaisiksi suunnitellut uudet viheralueet","i237",NA,"operational","year",NA,NA,NA
"16","https://aplans.api.hel.ninja/v1/indicator/235/","indicator",235,"Sopiviin kasvupaikkoihin istutettujen kaupunkipuiden lukumäärä","i235",NA,"operational","year",NA,NA,NA
"17","https://aplans.api.hel.ninja/v1/indicator/234/","indicator",234,"Metsäpinta-ala Helsingissä","i234",NA,"tactical","year",NA,NA,NA
"18","https://aplans.api.hel.ninja/v1/indicator/236/","indicator",236,"Rakennusmaaksi asemakaavoitettu metsäpinta-ala","i236",NA,"operational","year",NA,NA,NA
"19","https://aplans.api.hel.ninja/v1/indicator/283/","indicator",283,"Jätteidenkäsittelyn kasvihuonekaasupäästöt","i283",NA,"strategic","year",7.500000e+01,2018-12-31,kt (CO₂e.)/a
"20","https://aplans.api.hel.ninja/v1/indicator/66/","indicator", 66,"Teollisuuden ja työkoneiden kasvihuonekaasupäästöt","i66",NA,"strategic","year",1.900000e+01,2018-12-31,kt (CO₂e.)/a
"21","https://aplans.api.hel.ninja/v1/indicator/261/","indicator",261,"Työkoneiden kasvihuonekaasupäästöt","i261",NA,"strategic","year",NA,NA,NA
"22","https://aplans.api.hel.ninja/v1/indicator/262/","indicator",262,"Työkoneiden khk-päästöt Helsingin kaupungin rakennusurakoissa","i262",NA,"strategic","year",NA,NA,NA
"23","https://aplans.api.hel.ninja/v1/indicator/265/","indicator",265,"Työkoneiden fossiilisen polttoaineen kulutus Helsingin katurakennusurakoissa","i265",NA,"tactical","month",NA,NA,NA
"24","https://aplans.api.hel.ninja/v1/indicator/263/","indicator",263,"Osuus katurakennushankinnoista, joissa on vähimmäisvaatimuksena ilmastokriteerit","i263",NA,"operational","year",NA,NA,NA
"25","https://aplans.api.hel.ninja/v1/indicator/264/","indicator",264,"Osuus katurakennuskilpailutuksista, joissa on vähimmäisvaatimuksena sähköllä toimivat työkoneet","i264",NA,"operational","year",0.000000e+00,2018-12-31,%
"26","https://aplans.api.hel.ninja/v1/indicator/30/","indicator", 30,"Sähkönkulutuksen kasvihuonekaasupäästöt","i30","ghg_emissions_electricity_helsinki","strategic","year",3.717315e+02,2018-12-31,kt (CO₂e.)/a
"27","https://aplans.api.hel.ninja/v1/indicator/92/","indicator", 92,"Kulutussähkönkulutus","i92","electricity_consumption","tactical","year",3.891360e+03,2018-12-31,GWh/a
"28","https://aplans.api.hel.ninja/v1/indicator/96/","indicator", 96,"Teollisuuden sähkönkulutus","i96",NA,"tactical","year",NA,NA,NA
"29","https://aplans.api.hel.ninja/v1/indicator/95/","indicator", 95,"Taloyhtiöiden omistamien kiinteistöjen sähkönkulutus","i95",NA,"tactical","year",NA,NA,NA
"30","https://aplans.api.hel.ninja/v1/indicator/94/","indicator", 94,"Kaupungin omistamien kiinteistöjen sähkönkulutus","i94",NA,"tactical","year",NA,NA,NA
"31","https://aplans.api.hel.ninja/v1/indicator/225/","indicator",225,"Energiankulutuksen vähenemä kohteissa, joissa kiinteistöautomsatiojärjestelmä uusittu","i225",NA,"operational","year",NA,NA,NA
"32","https://aplans.api.hel.ninja/v1/indicator/102/","indicator",102,"Kaupungin omistamien kiinteistöjen kaukolämmönkulutus","i102","district_heating_demand_city_buildings_helsinki","tactical","year",1.073446e+03,2017-12-31,GWh/a
"33","https://aplans.api.hel.ninja/v1/indicator/69/","indicator", 69,"Rakennuskannan kaukolämmönkulutus","i69","district_heating_demand_helsinki","tactical","year",6.700200e+03,2018-12-31,GWh/a
"34","https://aplans.api.hel.ninja/v1/indicator/31/","indicator", 31,"Kaukolämmönkulutuksen kasvihuonekaasupäästöt","i31","ghg_emissions_district_heating_helsinki","strategic","year",1.361603e+03,2017-12-31,kt (CO₂e.)/a
"35","https://aplans.api.hel.ninja/v1/indicator/25/","indicator", 25,"Lämmönkulutuksen kasvihuonekaasupäästöt","i25","ghg_emissions_heating_helsinki","strategic","year",1.438585e+03,2018-12-31,kt (CO₂e.)/a
"36","https://aplans.api.hel.ninja/v1/indicator/291/","indicator",291,"Maalämmönkulutuksen kasvihuonekaasupäästöt","i291",NA,"strategic","year",NA,NA,NA
"37","https://aplans.api.hel.ninja/v1/indicator/104/","indicator",104,"Sähkölämmityksen kasvihuonekaasupäästöt","i104",NA,"strategic","year",5.600000e+01,2018-12-31,kt (CO₂e.)/a
"38","https://aplans.api.hel.ninja/v1/indicator/282/","indicator",282,"Sähkölämmityksen sähkönkulutus","i282",NA,"tactical","year",3.370000e+02,2018-12-31,GWh/a
"39","https://aplans.api.hel.ninja/v1/indicator/107/","indicator",107,"Poistoilmalämpöpumpuilla tuotettu lämpöenergia","i107",NA,"tactical","year",NA,NA,NA
"40","https://aplans.api.hel.ninja/v1/indicator/106/","indicator",106,"Maalämpöpumppujen käyttämä sähköenergia","i106",NA,"tactical","year",NA,NA,NA
"41","https://aplans.api.hel.ninja/v1/indicator/105/","indicator",105,"Maalämpöpumpuilla tuotettu lämpöenergia","i105",NA,"tactical","year",NA,NA,NA
"42","https://aplans.api.hel.ninja/v1/indicator/194/","indicator",194,"Kaupungin kiinteistöjen maalämpöpumpuilla tuotettu lämpöenergia","i194",NA,"operational","year",NA,NA,NA
"43","https://aplans.api.hel.ninja/v1/indicator/35/","indicator", 35,"Öljylämmityksen kasvihuonekaasupäästöt","i35","ghg_emissions_oil_heating_helsinki","strategic","year",8.100000e+01,2015-12-31,kt (CO₂e.)/a
"44","https://aplans.api.hel.ninja/v1/indicator/40/","indicator", 40,"Öljylämmitteisten kiinteistöjen pinta-ala","i40",NA,"tactical","year",1.765504e+06,2018-12-31,m2
"45","https://aplans.api.hel.ninja/v1/indicator/41/","indicator", 41,"Öljylämmityksen korvaamiseen tähtäävien muutosremonttien lukumäärä","i41",NA,"tactical","year",NA,NA,NA
"46","https://aplans.api.hel.ninja/v1/indicator/43/","indicator", 43,"Tavoitettujen öljylämmitteisten kiinteistöjen omistajien lukumäärä","i43",NA,"operational","year",NA,NA,NA
"47","https://aplans.api.hel.ninja/v1/indicator/293/","indicator",293,"Rakennusmateriaalien kasvihuonekaasupäästöt","i293",NA,"strategic","year",NA,NA,NA
"48","https://aplans.api.hel.ninja/v1/indicator/54/","indicator", 54,"Asemakaavoissa puurakennuksiin määrätty kerrosneliömäärä","i54",NA,"operational","year",NA,NA,NA
"49","https://aplans.api.hel.ninja/v1/indicator/9/","indicator",  9,"Kaukolämmöntuotannon päästökerroin","i9","district_heat_unit_emissions","tactical","year",2.019248e+02,2018-12-31,g CO₂e/kWh
"50","https://aplans.api.hel.ninja/v1/indicator/82/","indicator", 82,"Helen Oy:n kaukolämmöntuotannon kasvihuonekaasupäästöt","i82",NA,"tactical","year",NA,NA,NA
"51","https://aplans.api.hel.ninja/v1/indicator/295/","indicator",295,"Lämpimän käyttöveden kulutus","i295",NA,"tactical","year",NA,NA,NA
"52","https://aplans.api.hel.ninja/v1/indicator/226/","indicator",226,"Osuus HEKAn kohteista, joissa veden etäluenta ja mittaus mahdollista","i226",NA,"operational","year",NA,NA,NA
"53","https://aplans.api.hel.ninja/v1/indicator/227/","indicator",227,"Älykkäitä energiaratkaisuja koskevia tontinluovutusehtoja sisältävien uusien vuokrasopimusten osuus","i227",NA,"tactical","year",NA,NA,NA
"54","https://aplans.api.hel.ninja/v1/indicator/181/","indicator",181,"Toteutuneiden HNH-pilottien lukumäärä","i181","Sonja","tactical","year",NA,NA,NA
"55","https://aplans.api.hel.ninja/v1/indicator/51/","indicator", 51,"Uusien rakennusten ominaislämmönkulutus","i51",NA,"tactical","year",NA,NA,NA
"56","https://aplans.api.hel.ninja/v1/indicator/72/","indicator", 72,"Kiinteistöjen ominaislämmönkulutus","i72","building_energy_efficiency_helsinki","tactical","year",3.647945e+01,2017-12-31,kWh/m³
"57","https://aplans.api.hel.ninja/v1/indicator/230/","indicator",230,"Kansallista tasoa tiukemmat energiatehokkuusehdot sisältävien uusien vuokrasopimusten osuus","i230",NA,"operational","year",NA,NA,NA
"58","https://aplans.api.hel.ninja/v1/indicator/4/","indicator",  4,"Kaupungin omistamien kaukolämmitteisten kiinteistöjen ominaislämmönkulutus","i4","city_buildings_energy_efficiency_helsinki","tactical","year",1.370374e+02,2017-12-31,kWh/m2
"59","https://aplans.api.hel.ninja/v1/indicator/215/","indicator",215,"Keskimääräinen parannus peruskorjattujen rakennusten E-luvuissa","i215",NA,"operational","year",2.710000e+01,2018-12-31,%
"60","https://aplans.api.hel.ninja/v1/indicator/76/","indicator", 76,"Lämpöpumpuilla tuotettu lämmitysenergia Helsingin omistamiin kiinteistöihin","i76",NA,"tactical","year",NA,NA,NA
"61","https://aplans.api.hel.ninja/v1/indicator/36/","indicator", 36,"Ominaislämmönkulutuksen väheneminen peruskorjauksessa","i36",NA,"tactical","year",NA,NA,NA
"62","https://aplans.api.hel.ninja/v1/indicator/207/","indicator",207,"Lämmön talteenotolla varustettujen kohteiden osuus peruskorjatuista","i207",NA,"operational","year",NA,NA,NA
"63","https://aplans.api.hel.ninja/v1/indicator/47/","indicator", 47,"HSY:n Ilmastoatlakseen merkittyjen energiaremontticasejen määrä","i47",NA,"tactical","week",NA,NA,NA
"64","https://aplans.api.hel.ninja/v1/indicator/48/","indicator", 48,"Energia- ja ilmastoatlakseen käytetyt resurssit","i48",NA,"operational","year",NA,NA,NA
"65","https://aplans.api.hel.ninja/v1/indicator/45/","indicator", 45,"Osuus taloyhtiöiden hallituksista, jotka ovat saaneet energiarenesanssikoulutuksen","i45",NA,"tactical","year",NA,NA,NA
