source,target,interaction,id,gpc,basic,hinku,alas,secap,hiv,scope,indices,description,Unit
polttoaine,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
päästösektori,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
päästösektori kulutusperusteinen,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
päästösektori tuotantoperusteinen,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
päästösektori alueperusteinen,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
kasvihuonekaasu,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
päästö,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
lämmitys,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
energialuokka,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
jätteenkäsittelymenetelmä,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
vaikutus,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
kiinteistö,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
laskentamenetelmä,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
liikenteen päästölähteet,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
ajoneuvo,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
rakennus,perusluokka,instanssina,,TRUE,,TRUE,TRUE,,TRUE,,,,
kivihiili,polttoaine,instanssina,,,,,,,,,,,
turve,polttoaine,instanssina,,,,,,,,,,,
maakaasu,polttoaine,instanssina,,,,,,,,,,,
raskas polttoöljy,polttoaine,instanssina,,,,,,,,,,,
kevyt polttoöljy,polttoaine,instanssina,,,,,,,,,,,
dieselöljy,polttoaine,instanssina,,,,,,,,,,,
bensiini,polttoaine,instanssina,,,,,,,,,,,
nestekaasu,polttoaine,instanssina,,,,,,,,,,,
koksi,polttoaine,instanssina,,,,,,,,,,,
koks.kaasu,polttoaine,instanssina,,,,,,,,,,,
masuunikaasu,polttoaine,instanssina,,,,,,,,,,,
jal.kaasu,polttoaine,instanssina,,,,,,,,,,,
yhdyskuntajäte,polttoaine,instanssina,,,,,,,,,,,
muu fossiilinen,polttoaine,instanssina,,,,,,,,,,,
polttohake,polttoaine,instanssina,,,,,,,,,,,
kuori,polttoaine,instanssina,,,,,,,,,,,
muu puu,polttoaine,instanssina,,,,,,,,,,,
mustalipeä,polttoaine,instanssina,,,,,,,,,,,
biokaasu,polttoaine,instanssina,,,,,,,,,,,
muu bio,polttoaine,instanssina,,,,,,,,,,,
teollisuuden jätelämpö,polttoaine,instanssina,,,,,,,,,,,
lämpöpumpun lämpö,polttoaine,instanssina,,,,,,,,,,,
sähkö,polttoaine,instanssina,,,,,,,,,,,
etanoli,polttoaine,instanssina,,,,,,,,,,,
hybridi,polttoaine,instanssina,,,,,,,,,,"Hybridiautoissa käytetään polttoainetta hybridi, johon määritellään sopiva suhde sähköä ja bensiiniä.",
,,,,,,,,,,,,,
kaukolämpö,päästösektori kulutusperusteinen,alajoukko,,,,,,,,,,,
sähkölämmitys,päästösektori kulutusperusteinen,alajoukko,,,,,,,,,,,
erillislämmitys,päästösektori kulutusperusteinen,alajoukko,,,,,,,,,,,
muu sähkö,päästösektori kulutusperusteinen,alajoukko,,,,,,,,,,,
muu polttoaine,päästösektori kulutusperusteinen,alajoukko,,,,,,,,,,,
liikenne,päästösektori kulutusperusteinen,alajoukko,,,,,,,,,,,
jätehuolto,päästösektori kulutusperusteinen,alajoukko,,,,,,,,,,,
maatalous,päästösektori kulutusperusteinen,alajoukko,,,,,,,,,,,
teollisuusprosessit,päästösektori kulutusperusteinen,alajoukko,,,,,,,,,,,
kotitaloudet,päästösektori kulutusperusteinen,alajoukko,,,,,,,,,,,
kunta,päästösektori kulutusperusteinen,alajoukko,,,,,,,,,,,
muu julkinen sektori,päästösektori kulutusperusteinen,alajoukko,,,,,,,,,,,
palvelusektori,päästösektori kulutusperusteinen,alajoukko,,,,,,,,,,,
erittelemätön,päästösektori kulutusperusteinen,alajoukko,,,,,,,,,,,
kaukolämmön tuotanto,päästösektori tuotantoperusteinen,alajoukko,,,,,,,,,,,
sähkölämmitys,päästösektori tuotantoperusteinen,alajoukko,,,,,,,,,,,
erillislämmitys,päästösektori tuotantoperusteinen,alajoukko,,,,,,,,,,,
teollisuuden lämpö,päästösektori tuotantoperusteinen,alajoukko,,,,,,,,,,,
muu polttoaine,päästösektori tuotantoperusteinen,alajoukko,,,,,,,,,,,
hiilidioksidi,kasvihuonekaasu,alajoukko,,TRUE,,TRUE,TRUE,,,,,,
metaani,kasvihuonekaasu,alajoukko,,TRUE,,TRUE,TRUE,,,,,,
typpidioksidi,kasvihuonekaasu,alajoukko,,,,,,,,,,,
typpioksiduuli,kasvihuonekaasu,alajoukko,,TRUE,,TRUE,TRUE,,,,,,
hiilimonoksidi,kasvihuonekaasu,alajoukko,,,,,,,,,,,
hiukkaset,kasvihuonekaasu,alajoukko,,,,,,,,,,,
rikkidioksidi,kasvihuonekaasu,alajoukko,,,,,,,,,,,
typenoksidit,kasvihuonekaasu,alajoukko,,,,,,,,,,,
fluorihiilivedyt,kasvihuonekaasu,alajoukko,,TRUE,,FALSE,FALSE,,,,,,
perfluorihiilivedyt,kasvihuonekaasu,alajoukko,,TRUE,,FALSE,FALSE,,,,,,
rikkiheksafluoridi,kasvihuonekaasu,alajoukko,,TRUE,,FALSE,FALSE,,,,,,
typpitrifluoridi,kasvihuonekaasu,alajoukko,,,,,,,,,,,
F-kaasut,päästösektori tuotantoperusteinen,alajoukko,,FALSE,,TRUE,TRUE,,,,,,
